xbrl,scripcode,nsesymbol,mseisymbol,companyname,isin,regulationofinsider,personcategory,personname,instrumenttype,securitynumberheldprior,securitiespercentageheldprior,noofsecurities,securityvalue,securitytype,postsecurities,postsecuritypercentage,allotmentadvicedate,saleofsharesspecifytodate,dateofintimation,modeofacquisionordisposal,exchangeonwhichthetradewasexecuted,valueinaggregate
https://archives.nseindia.com/corporate/xbrl/IT_1037868_16457_30062018064655_WEB.xml,540061,BIGBLOC,NOTLISTED,Bigbloc Construction Limited,INE412U01017,7(2),Promoter Group,MADHU SABOO,Equity Shares,935815,6.61,153000,21205800,Sell,782815,5.53,2018-06-29,2018-06-29,2018-06-30,Market Sale,NSE,21205800
https://archives.nseindia.com/corporate/xbrl/IT_1037796_16456_30062018062934_WEB.xml,000000,ORBTEXP,NOTLISTED,Orbit Exports Limited,INE231G01010,7(2),Promoter Group,PARTH SETH,Equity Shares,1500,0.01,1038,126863.78,Buy,2538,0.01,2018-06-28,2018-06-28,2018-06-30,Market Purchase,NSE,126863.78
https://archives.nseindia.com/corporate/xbrl/IT_1037796_16456_30062018062934_WEB.xml,000000,ORBTEXP,NOTLISTED,Orbit Exports Limited,INE231G01010,7(2),Promoter Group,PARTH SETH,Equity Shares,1500,0.01,1038,126863.78,Buy,2538,0.01,2018-06-28,2018-06-28,2018-06-30,Market Purchase,NSE,126863.78
https://archives.nseindia.com/corporate/xbrl/IT_1037867_16455_30062018062009_WEB.xml,540061,BIGBLOC,NOTLISTED,Bigbloc Construction Limited,INE412U01017,7(2),Promoter Group,AYUSHI SABOO,Equity Shares,200000,1.41,47000,6561200,Sell,153000,1.08,2018-06-29,2018-06-29,2018-06-30,Market Sale,BSE,6561200
https://archives.nseindia.com/corporate/xbrl/IT_1037866_16454_30062018052410_WEB.xml,540975,ASTERDM,NOTLISTED,Aster DM Healthcare Limited,INE914M01019,7(2),Director,ANOOP MOOPEN,Equity Shares,818738,0.16,10191,1648487,Buy,828929,0.16,2018-06-21,2018-06-21,2018-06-21,Market Purchase,NSE,1648487.85
https://archives.nseindia.com/corporate/xbrl/IT_1037866_16454_30062018052410_WEB.xml,540975,ASTERDM,NOTLISTED,Aster DM Healthcare Limited,INE914M01019,7(2),Director,ANOOP MOOPEN,Equity Shares,818738,0.16,10191,1648487,Buy,828929,0.16,2018-06-21,2018-06-21,2018-06-21,Market Purchase,NSE,1648487.85
https://archives.nseindia.com/corporate/xbrl/IT_1037866_16454_30062018052410_WEB.xml,540975,ASTERDM,NOTLISTED,Aster DM Healthcare Limited,INE914M01019,7(2),Director,ANOOP MOOPEN,Equity Shares,818738,0.16,10191,1648487,Buy,828929,0.16,2018-06-21,2018-06-21,2018-06-21,Market Purchase,NSE,1648487.85
https://archives.nseindia.com/corporate/xbrl/IT_1037866_16454_30062018052410_WEB.xml,540975,ASTERDM,NOTLISTED,Aster DM Healthcare Limited,INE914M01019,7(2),Director,ANOOP MOOPEN,Equity Shares,818738,0.16,10191,1648487,Buy,828929,0.16,2018-06-21,2018-06-21,2018-06-21,Market Purchase,NSE,1648487.85
https://archives.nseindia.com/corporate/xbrl/IT_1037865_16453_30062018051705_WEB.xml,000000,MALUPAPER,NOTLISTED,Malu Paper Mills Limited,INE383H01017,7(2),Promoters,BHARAT MALU,Equity Shares,240478,1.41,2000,74200,Buy,242478,1.42,2018-06-27,2018-06-27,2018-06-30,Market Purchase,BSE,74200
https://archives.nseindia.com/corporate/xbrl/IT_1037864_16451_30062018050742_WEB.xml,523574,FEL,NOTLISTED,Future Enterprises Limited,INE623B01027,7(2),Promoter Group,Suhani Trading and Investment Consultants Private Limited,Equity Shares,27820408,6.12,535168,19774458,Pledge Revoke,27820408,6.12,2018-06-29,2018-06-29,2018-06-29,Revokation of Pledge,NA,19774458
https://archives.nseindia.com/corporate/xbrl/IT_1037864_16451_30062018050742_WEB.xml,523574,FEL,NOTLISTED,Future Enterprises Limited,INE623B01027,7(2),Promoter Group,Suhani Trading and Investment Consultants Private Limited,Equity Shares,27820408,6.12,535168,19774458,Pledge Revoke,27820408,6.12,2018-06-29,2018-06-29,2018-06-29,Revokation of Pledge,NA,19774458
https://archives.nseindia.com/corporate/xbrl/IT_1037864_16451_30062018050742_WEB.xml,523574,FEL,NOTLISTED,Future Enterprises Limited,INE623B01027,7(2),Promoter Group,Suhani Trading and Investment Consultants Private Limited,Equity Shares,27820408,6.12,535168,19774458,Pledge Revoke,27820408,6.12,2018-06-29,2018-06-29,2018-06-29,Revokation of Pledge,NA,19774458
https://archives.nseindia.com/corporate/xbrl/IT_1037863_16450_30062018044820_WEB.xml,000000,ADANIENT,NOTLISTED,Adani Enterprises Limited,INE423A01024,7(2),Promoter Group,Gautam S Adani / Rajesh S Adani (on behalf of S.B. Adani Family Trust),Equity Shares,621197910,56.48,3900000,426500000,Pledge,621197910,56.48,2018-06-28,2018-06-28,2018-06-30,Pledge Creation,NA,426500000
https://archives.nseindia.com/corporate/xbrl/IT_1037862_16449_30062018041856_WEB.xml,502168,NCLIND,NOTLISTED,NCL Industries Limited,INE732C01016,7(2),Director,Kalidindi Madhu,Equity Shares,1172274,2.59,7500,1192875,Buy,1179774,2.61,2018-06-28,2018-06-28,2018-06-28,Market Purchase,NSE,1192875
https://archives.nseindia.com/corporate/xbrl/IT_1037862_16449_30062018041856_WEB.xml,502168,NCLIND,NOTLISTED,NCL Industries Limited,INE732C01016,7(2),Director,Kalidindi Madhu,Equity Shares,1172274,2.59,7500,1192875,Buy,1179774,2.61,2018-06-28,2018-06-28,2018-06-28,Market Purchase,NSE,1192875
https://archives.nseindia.com/corporate/xbrl/IT_1037862_16449_30062018041856_WEB.xml,502168,NCLIND,NOTLISTED,NCL Industries Limited,INE732C01016,7(2),Director,Kalidindi Madhu,Equity Shares,1172274,2.59,7500,1192875,Buy,1179774,2.61,2018-06-28,2018-06-28,2018-06-28,Market Purchase,NSE,1192875
https://archives.nseindia.com/corporate/xbrl/IT_1037861_16448_30062018041400_WEB.xml,536507,FLFL,NOTLISTED,Future Lifestyle Fashions Limited,INE452O01016,7(2),Promoters,Ryka Commercial Ventures Pvt. Ltd.,Equity Shares,101664765,52.28,418475,174721682,Pledge Revoke,101664765,52.28,2018-06-29,2018-06-29,2018-06-29,Revokation of Pledge,NA,174721682
https://archives.nseindia.com/corporate/xbrl/IT_1037861_16448_30062018041400_WEB.xml,536507,FLFL,NOTLISTED,Future Lifestyle Fashions Limited,INE452O01016,7(2),Promoters,Ryka Commercial Ventures Pvt. Ltd.,Equity Shares,101664765,52.28,418475,174721682,Pledge Revoke,101664765,52.28,2018-06-29,2018-06-29,2018-06-29,Revokation of Pledge,NA,174721682
https://archives.nseindia.com/corporate/xbrl/IT_1037860_16447_30062018041201_WEB.xml,540061,BIGBLOC,NOTLISTED,Bigbloc Construction Limited,INE412U01017,7(2),Director,MANISH NARAYAN SABOO,Equity Shares,265440,1.87,47000,6514200,Sell,218440,1.54,2018-06-29,2018-06-29,2018-06-30,Market Sale,NSE,6514200
https://archives.nseindia.com/corporate/xbrl/IT_1037859_16446_30062018040319_WEB.xml,506194,ARIHANTSUP,NOTLISTED,Arihant Superstructures Limited,INE643K01018,7(2),Employees/Designated Employees,UMESH JHAWAR,Equity Shares,1300,0.00,200,17260,Buy,1500,0.00,2018-06-28,2018-06-28,2018-06-29,Market Purchase,NSE,17260
https://archives.nseindia.com/corporate/xbrl/IT_1037859_16446_30062018040319_WEB.xml,506194,ARIHANTSUP,NOTLISTED,Arihant Superstructures Limited,INE643K01018,7(2),Employees/Designated Employees,UMESH JHAWAR,Equity Shares,1300,0.00,200,17260,Buy,1500,0.00,2018-06-28,2018-06-28,2018-06-29,Market Purchase,NSE,17260
https://archives.nseindia.com/corporate/xbrl/IT_1037858_16445_30062018034744_WEB.xml,532740,LOKESHMACH,NOTLISTED,Lokesh Machines Limited,INE397H01017,7(2),Promoter Group,B KISHORE BABU,Equity Shares,1097009,6.13,10000,560000,Sell,1087009,6.07,2018-06-29,2018-06-29,2018-06-30,Off Market,NA,560000
https://archives.nseindia.com/corporate/xbrl/IT_1037853_16443_30062018020903_WEB.xml,532734,GPIL,NOTLISTED,Godawari Power And Ispat limited,INE177H01013,7(2),Employees/Designated Employees,Yarra Chandra Rao,Equity Shares,200,0.00,150,66557,Sell,50,0.00,2018-06-28,2018-06-28,2018-06-29,Market Sale,NSE,66557
https://archives.nseindia.com/corporate/xbrl/IT_1037856_16442_30062018020542_WEB.xml,539254,ADANITRANS,NOTLISTED,Adani Transmission Limited,INE931S01010,7(2),Promoter Group,Shri Gautam S. Adani/Shri Rajesh S. Adani (on behalf of S. B. Adani Family Trust),Equity Shares,621197910,56.48,1700000,249100000,Pledge,621197910,56.48,2018-06-28,2018-06-28,2018-06-30,Pledge Creation,NA,249100000
https://archives.nseindia.com/corporate/xbrl/IT_1037855_16438_30062018012735_WEB.xml,000000,KMSUGAR,NOTLISTED,K.M.Sugar Mills Limited,INE157H01023,7(2),Promoters,ADITYA JHUNJHUNWALA,Equity Shares,3837513,4.17,31959,257269.95,Buy,3869472,4.21,2018-06-29,2018-06-29,2018-06-29,Market Purchase,"BSE,NSE",257269.95
https://archives.nseindia.com/corporate/xbrl/IT_1037852_16427_30062018121352_WEB.xml,500444,WSTCSTPAPR,NOTLISTED,West Coast Paper Mills Limited,INE976A01021,7(2),Director,Shri Saurabh Bangur,Equity Shares,1556530,2.36,10000,2515766.48,Buy,1566530,2.37,2018-06-28,2018-06-28,2018-06-29,Market Purchase,NSE,2515766.48
